key,en_us,pt_br,es_ar,jp_jp,de_de,ru_ru
submit,Submit,Confirmar,Confirmar,準備,Bestätigen,
play,Play,Jogar,Jugar,プレー,Spielen,
achievements,Achievements,Conquistas,Logros,実績,Errungenschaften,
exit,Exit,Sair,Salir,選ぶ,Beenden,
achievement_first,Math!,Matemática,Matemáticas,算数!,Mathematik,
achievement_first_desc,Answer your first question!,Responda sua primeira questão!,Responde tu primera pregunta!,最初の質問に答えてください！,"Beantworte deine erste Frage!",
achievement_five,Harder Math,Matemática Complicada,Matemática Difícil ,より難しい数学,Schwieriger Mathe,
achievement_five_desc,Get through the first 5 easy questions.,Complete suas primeiras 5 questões.,Complete las primeras 5 preguntas.,最初の5つの簡単な質問に答えてください。,Gehen Sie die ersten 5 einfachen Fragen durch ,
achievement_like_a_shark,Like a shark!,Menino Sagaz,Como un Tiburon!,最大!,Kluger Junge,
achievement_like_a_shark_desc,Get 1000 points for a question.,Consiga 1000 pontos em uma única pergunta.,Consigue 1000 puntos por una pregunta.,質問に対して1000ポイントを獲得します。,Erhalten Sie 1000 Punkte für eine Frage,
achievement_eight_thousand,More than Eight Thousand!,Mais de oito mil!,Más de ochomil!,8000以上！,Mehr als Achttausend,
achievement_eight_thousand_desc,Get 8000 total score or more.,Consiga 8000 pontos ou mais no total.,Consigue un total de 8000 puntos o más.,合計8000以上のスコアを取得します。,Erhalten Sie 8000 Punkte oder mehr in summe,
achievement_sixteen_thousand,Way More than Eight Thousand!,Muito mais que Oito Mil!,Mucho más que ochomil!,16000以上！,Viel mehr als Achttausend,
achievement_sixteen_thousand_desc,Get 16000 total score or more.,Consiga 16000 pontos ou mais no total.,Consigue un total de 16000 puntos o más,合計16000以上のスコアを取得します。,Erhalten Sie 1600 Punkte oder mehr in summe,
achievement_nice,Nice!,Nice!,Nice!,ナイス!,Nice!,
achievement_nice_desc,Get 69 points for a question.,Consiga 69 pontos por uma questão.,Consigue 69 puntos por una pregunta.,質問に対して69ポイントを獲得します。,Erhalten Sie 69 Punkte für eine Frage,
achievement_angle_guesser,Angle Guesser!,Angle Guesser!,Angle Guesser!,アングルゲッサー！,Angle Guesser!,
achievement_angle_guesser_desc,Reach Question 50.,Chegue na Questão 50,Llega a la pregunta 50.,質問50に到達します。,Erreichen Sie die Frage 50,
achievement_angle_god,Angle God!,Deus do Ângulo,Dios del ángulo!,角度の神！,Angle Gott!,
achievement_angle_god_desc,Reach Question 150.,Chegue na Questão 150.,Llega a la pregunta 150.,質問150に到達します。,Erreichen Sie die Frage 150,
language,Language: English,Língua: Português,Lenguaje: Español,言語: 日本語,Sprache: Deutsch,
try_again,Try Again,Tentar Novamente,Inténtalo de nuevo,再試行,Versuchen Sie es nochmal,
main_menu,Main Menu,Menu Principal,Menú principal,戻る,Hauptmenü,
game_over_text,Game Over!            Questions: {questions}           Your Score: {score}         Accuracy: {accuracy}            Play Time: {playtime}           Avg. Response Time: {avgresponsetime},Fim de Jogo!            Pergunta: {questions}           Sua Pontuação: {score}         Precisão: {accuracy}            Tempo de Jogo: {playtime}                    Tmp. Médio de Resposta: {avgresponsetime},Fin del Juego!                            Pregunta: {questions}                        Su Puntuación: {score}                         Precisión: {accuracy}                        Tiempo de Juego: {playtime}                    Tmp. Medio de Respuesta: {avgresponsetime},,Spiel ist aus!                                    Fragen: {questions}                                              Spielstand: {score}                                     Genauigkeit: {accuracy}                                                               Spielzeit: {playtime}                                        Ansprechzeit:  {avgresponsetime},
on,On,Ligado,On,,An,
off,Off,Desligado,Off,,Aus,
background_music_button,Background Music: ,Musica de Fundo:,Música de Fondo: ,,Hintergrundmusik:,
new_record,New High Score!,Novo Recorde!,¡Nuevo record!,,Neuer Eintrag!,
reset_score,Reset High Score,Resetar Recorde,Restablecer Registro,,Datensatz zurücksetzen,
reset_score_confirmation,Are you sure you want to reset your high score? (this will erase all achievement as well),Você tem certeza que quer resetar seu recorde? (isso também removera todos as suas conquistas),¿Estás seguro de que deseas restablecer tu registro?(esto también restablecerá todos tus logros),,Möchten Sie Ihren Datensatz wirklich zurücksetzen?(Dadurch werden auch alle deine Erfolge zurückgesetzt),
yes,Yes,Sim,Sí,,Jawohl,
no,No,Não,No,,Nicht,
credits,Credits,Créditos,Créditos,,Credits,
credits_text,Gamescola TCC/n/nProgrammer & Game Designer:/nGiovanni Strasser /n /nParticles:/n Jean Moreno/n/nGraphics:/nGula Inc/n/nTranslators/nMarqui05(Spanish)/nFritz(German),Gamescola TCC/n/nProgramador & Game Designer:/nGiovanni Strasser /n /nPartículas:/n Jean Moreno/n/nGráficos:/nGula Inc/n/nTradutores/nMarqui05(Espanhol)/nFritz(Alemão),Gamescola TCC/n/nProgramador & Diseñador de Juegos:/nGiovanni Strasser /n /nParticulas:/n Jean Moreno/n/nGraficos:/nGula Inc/n/nTraductores/nMarqui05(Español)/nFritz(Alemán),,Gamescola TCC/n/nProgrammierer & Spieledesigner:/nGiovanni Strasser /n/nParticles:/n Jean Moreno/n/nGrafik:/nGula Inc/n/nTranslators/nMarqui05(Spanisch)/nFritz(Deutsch),
back  ,Back  ,Voltar,Vuelve,,Geh Zurück,